"","BD.MBOL","CF00765-00647.MBOL","CF00773-00659.MBOL","CF00020-00045.MBOL","CF00113-00117.MBOL","CF00106-00110.MAB","CF00151-00153.MAB","CF00039-00415.MAB","CF00209-00452.MAB","UNC673.MAB","CF00152-00154.MAB","WRCM9.MAB","CF00045-00421.MAB","CF00017-00040.MAB","CF00108-00112.MAB","CF00297-01032.MAB","CF00123-00127.MAB","CF00032-00408.MAB","CF00764-00646.MAB","CF00096-00101.MAB","CF00783-00676.MAB","CF00130-00134.MAB","CF00023-00438.MAB","CF00120-00124.MAB","CF00033-00409.MAB","CF00314-00660.MAB","CF00044-00420.MAB","CF00077-00226.MAB","CF00107-00704.MAB","CF00043-00419.MAB","CF00795-00699.MAB","CF00068-00219.MAB","CF00280-00677.MAB","CF00138-00141.MAB","CF00038-00414.MAB","CF00141-00144.MAB","CF00167-00168.MAB","CF00786-00686.MAB","CF00143-00146.MAB","CF00066-00705.MAB","CF00788-00688.MAB","CF00211-00454.MAB","CF00026-00061.MAB","CF00171-00172.MAB","CF00114-00118.MAB","CF00157-00159.MAB","CF00134-00138.MAB","CF00041-00417.MAB","CF00055-00431.MAB","CF00065-00440.MAB","CF00144-00147.MAB","CF00142-00145.MAB","CF00158-00160.MAB","CF00067-00436.MAB","CF00160-00161.MAB","CF00093-00098.MAB","CF00125-00129.MAB","CF00097-00102.MAB","CF00135-00139.MAB","CF00080-00085.MAB","CF00116-00120.MAB","CF00053-00404.MAB","CF00154-00156.MAB","CF00148-00210.MAB","CF00149-00151.MAB","CF00103-00108.MAB","CF00207-00450.MAB","CF00090-00095.MAB","CF00048-00425.MAB","CF00006-00020.MAB","ATCC19977.MAB","CF00034-00410.MAB","CF00308-00653.MAB","CF00118-00122.MAB","CF00208-00451.MAB","CF00040-00180.MAB","CF00261-00765.MAB","CF00013-00035.MAB","CF00031-00407.MAB","CF00030-00406.MAB","CF00037-00413.MAB","CF00064-00439.MAB","CF00050-00429.MAB","CF00016-00037.MAB","CF00076-00179.MAB","CCUG48898.MMAS"
"BD.MBOL",0,9.47206065990452,9.3990888153531,8.84389499528736,9.0728973388515,10.7907535115497,10.7846233268599,10.840362351401,10.8881693561854,10.8624005218915,10.8624966060244,10.8626879642399,10.8623202258279,10.8619549722854,10.8624248082482,10.8632411818012,10.8619459070804,10.862417965457,10.8623796344581,10.9163148101268,10.9162241241995,10.874231878187,10.8584561367798,10.8578303072187,10.9120127681981,10.9120488164353,10.9137247147309,10.8961129609025,10.9926919067109,10.8775907279928,10.876319151274,10.8714087957338,10.8713665037032,10.810173236674,10.8133456573559,10.8114671484029,10.7990515602281,10.8039858495691,10.8041616202052,10.804278399326,10.8045769901494,10.8044359033268,10.8043343559618,10.804740007589,10.8043966419074,10.8043560210605,10.804802758706,10.8042138618687,10.804579441187,10.8048839892874,10.8042138614011,10.8043966576221,10.8044982025195,10.8044371721012,10.8045591399719,10.804173238014,10.8044575243836,10.8042746793922,10.8043559786494,10.804415908237,10.804395598411,10.8045475589488,10.8045475589488,10.8046334999375,10.8041712491789,10.8041922188563,10.8042125387042,10.8041115736582,10.8045169234913,10.8043747622372,10.8041716383909,10.8047605875407,10.8045575407223,10.8042325802373,10.8045778442135,10.7803066673032,10.8317142252089,10.8316154657242,10.8054216416316,10.80564510105,10.8055233856195,10.8004447074528,10.8276417640558,10.7407191678524,10.728416001396,10.6485775415037
"CF00765-00647.MBOL",9.47206065990452,0,9.42238253021922,9.02338541755484,9.21818065646427,10.818427192096,10.8124648261508,10.8667141590184,10.9133063317048,10.8881852777762,10.8882789161858,10.888465404256,10.8881070257423,10.8877510721727,10.8882089459268,10.88900454731,10.8877422378252,10.8882022773165,10.8881649220413,10.9407626153375,10.9406741196973,10.8997171946971,10.8843414908682,10.8837316581325,10.9365646920423,10.9365998660178,10.9382351534344,10.9210535088179,11.0153622043206,10.9029916629594,10.9017519984903,10.8969652481721,10.8969240233035,10.8373218456627,10.8404094291754,10.8385811238498,10.8264996632498,10.8313006777373,10.8314717126119,10.8315853458185,10.8318758945252,10.8317386073831,10.8316397951644,10.8320345223092,10.8317004034257,10.8316608766978,10.8320955838798,10.8315225468924,10.8318782795573,10.8321746275165,10.8315225464374,10.8317004187171,10.8317992287005,10.8317398419852,10.831858525051,10.8314830174325,10.8317596461185,10.8315817260905,10.8316608354291,10.8317191508334,10.8316993880352,10.8318472559081,10.8318472559081,10.8319308825659,10.8314810821771,10.831501486931,10.8315212593729,10.831423014379,10.8318174454889,10.8316791130771,10.8314814609036,10.8320545481433,10.8318569688694,10.8315407610082,10.8318767255897,10.8082669403898,10.8582918999366,10.8581957308004,10.8326978091778,10.8329152565085,10.8327968156217,10.8278551168062,10.8543264617119,10.7697922614867,10.7578437512845,10.6804125565318
"CF00773-00659.MBOL",9.3990888153531,9.42238253021922,0,8.90660357605412,9.12308725667929,10.7999475691196,10.793873658128,10.8491133723093,10.8965135593224,10.8709616100355,10.8710568751337,10.8712466024173,10.8708819984866,10.8705198593767,10.8709856893644,10.8717951066864,10.8705108714829,10.8709789049037,10.8709409006598,10.9244283729745,10.9243384198893,10.8826926986499,10.8670509148505,10.8664304427685,10.920161168992,10.9201969246924,10.9218592343666,10.9043914160738,11.0002110903034,10.8860232967881,10.8847624043789,10.8798934343503,10.8798514996418,10.8191912655484,10.8223352505842,10.8204735686442,10.8081699860683,10.8130595962882,10.8132337793783,10.8133495039126,10.813645398834,10.8135055857497,10.8134049552692,10.8138069447664,10.8134666788159,10.8134264247431,10.8138691295122,10.8132855492528,10.8136478277451,10.813949626985,10.8132855487894,10.8134666943887,10.8135673224805,10.8135068430688,10.8136277097988,10.8132452922658,10.813527011599,10.8133458175702,10.813426382715,10.8134857711908,10.8134656447412,10.8136162333249,10.8136162333249,10.8137013984991,10.813243321392,10.8132641016932,10.8132842380373,10.8131841848195,10.8135858744387,10.8134449966999,10.813243707089,10.8138273389663,10.8136261249866,10.8133040985836,10.8136462451881,10.7895968301012,10.8405409197708,10.8404430282125,10.8144824284872,10.8147038725558,10.8145832548048,10.8095504964495,10.8365043191395,10.7503826746923,10.7381985511178,10.6591688483161
"CF00020-00045.MBOL",8.84389499528736,9.02338541755484,8.90660357605412,0,7.48655725775722,10.6367608055187,10.6296063942242,10.694394841192,10.7495115805146,10.7198527598611,10.7199635640515,10.7201842334244,10.7197601612157,10.7193389308797,10.7198807670336,10.7208221533198,10.7193284760902,10.7198728758962,10.7198286722639,10.7817762766538,10.7816725304829,10.7334844739082,10.7153026859866,10.7145805021773,10.7768531757283,10.7768944407392,10.778812631655,10.7586312727971,10.8686871253469,10.737349979628,10.7358868259548,10.7302340340398,10.7301853292862,10.6593772674927,10.663065078449,10.6608816171804,10.6464336716149,10.6521791924758,10.6523837751547,10.6525196932644,10.6528672084609,10.6527030065552,10.6525848197395,10.6530569292795,10.6526573120317,10.6526100350248,10.6531299581112,10.6524445790523,10.6528700610329,10.6532244919587,10.652444578508,10.6526573303214,10.6527755130587,10.6527044832173,10.6528464339936,10.6523972971286,10.652728170163,10.6525153637088,10.6526099856641,10.6526797352452,10.6526560975512,10.6528329556871,10.6528329556871,10.6529329755151,10.6523949823242,10.6524193888856,10.652443039032,10.6523255256576,10.6527973011933,10.6526318471827,10.652395435328,10.6530808800089,10.6528445727454,10.6524663651722,10.6528682024398,10.6245640993042,10.6843807612468,10.6842663237551,10.6538501648105,10.6541101911723,10.6539685593838,10.6480563343769,10.6796603083627,10.5781480270956,10.5636571509807,10.4688206795814
"CF00113-00117.MBOL",9.0728973388515,9.21818065646427,9.12308725667929,7.48655725775722,0,10.5929725354288,10.5854966846856,10.6531102652143,10.7104846887681,10.6796270963168,10.6797424482777,10.6799721730887,10.6795306967145,10.6790921712368,10.6796562530459,10.6806362591128,10.6790812870915,10.6796480380195,10.6796020200156,10.7440121776956,10.7439044385112,10.6938143825344,10.67488981854,10.6741378402508,10.7388991200043,10.7389419812565,10.7409342974839,10.719965615397,10.8341215442854,10.6978360013138,10.6963138302672,10.6904321829375,10.6903815004988,10.6165894730872,10.6204381919698,10.6181595359101,10.6030761897968,10.6090755391003,10.6092891318877,10.6094310349579,10.6097938486304,10.6096224188436,10.6094990288838,10.6099919190854,10.6095747127066,10.6095253543194,10.6100681614842,10.6093526133034,10.6097968267567,10.6101668548433,10.6093526127351,10.6095747318014,10.6096981171095,10.6096239605113,10.6097721597758,10.6093032493205,10.6096486901899,10.6094265147696,10.6095253027855,10.6095981230709,10.6095734447596,10.6097580882116,10.6097580882116,10.609862510288,10.6093008325811,10.6093263139007,10.6093510054699,10.6092283171969,10.6097208643185,10.6095481267749,10.6093013055334,10.6100169237718,10.6097702166039,10.6093753587403,10.6097948863588,10.5802263971199,10.6426718950395,10.6425525832612,10.6108200471019,10.6110915050986,10.6109436470843,10.6047706937271,10.6377498982376,10.5316541142477,10.5164683302726,10.4168134480162
"CF00106-00110.MAB",10.7907535115497,10.818427192096,10.7999475691196,10.6367608055187,10.5929725354288,0,9.29412346031159,9.52083590226858,9.68907694532084,9.60091655042655,9.60125574930637,9.60193104186497,9.60063302375941,9.59934257994182,9.60100229458661,9.60388148038889,9.5993105373073,9.60097813631363,9.60084280211448,9.7795460524059,9.77926338613896,9.64207821597981,9.58692021543209,9.58468650861148,9.76607644927214,9.76618983047461,9.77145132160009,9.71518777574121,10.0005829968978,9.65354772263326,9.64921658728958,9.63236561434712,9.63221960163206,9.40287515163183,9.41577124796235,9.40815013979388,9.35664347424275,9.37735542887778,9.37808724721991,9.37857323042016,9.37981501855266,9.37922840856446,9.37880603369283,9.38049248627867,9.37906512116303,9.37889615861224,9.3807531744453,9.37830467616453,9.37982520715378,9.38109055559518,9.37830467421846,9.37906518652405,9.37948746801663,9.37923368503246,9.37974081562536,9.37813560345495,9.37931832142997,9.37855775246254,9.37889598219197,9.3791452519451,9.37906078100752,9.37969267124488,9.37969267124488,9.38004990134821,9.37812732555031,9.37821460266033,9.37829916961888,9.37787892062349,9.3795653056908,9.3789741152947,9.37812894552779,9.38057798765269,9.37973416736404,9.37838257296765,9.37981856878001,9.27481656929666,9.48808671715816,9.48770812676463,9.38332145201815,9.38424754872303,9.38374319661866,9.3625244822296,9.47238642428109,9.08255302213456,9.01620814296663,10.3212421676818
"CF00151-00153.MAB",10.7846233268599,10.8124648261508,10.793873658128,10.6296063942242,10.5854966846856,9.29412346031159,0,9.33166371113381,9.53164305914455,9.42764373743586,9.42804709657627,9.42885004528224,9.42730656117627,9.42577170782103,9.42774570274834,9.43116861639477,9.42573359154994,9.42771697436029,9.42755603603284,9.63675257640894,9.63642651618351,9.47640574810308,9.41097724959379,9.40831327165756,9.62119934699424,9.621330402885,9.62740955166511,9.56213862717448,9.88777479620412,9.4899279900452,9.48482495693841,9.46493299222057,9.46476036410895,9.18728427823306,9.20325844421862,9.19382425877133,9.12960307896743,9.15552621187209,9.1564397002802,9.15704623460508,9.15859572405974,9.1578638180394,9.15733676026628,9.15944085989357,9.15766006744516,9.15744922669928,9.15976602865505,9.15671107285184,9.15860843531181,9.16018682910609,9.15671107042301,9.15766014900451,9.15818705642274,9.15787040189724,9.15850314786041,9.1565000548531,9.15797600811003,9.15702691837195,9.15744900654777,9.15776005594726,9.15765465167135,9.15844308161452,9.15844308161452,9.15888875460884,9.15648972305381,9.15659865409199,9.15670420032539,9.1561796745941,9.15828417341228,9.15754650642413,9.15649174497805,9.15954751213879,9.15849485335036,9.15680829211336,9.15860015331075,9.0258033909412,9.29195749376297,9.29149684994648,9.16296844423386,9.16412270751409,9.16349412859176,9.1369775267618,9.2728224582252,8.7717261014903,8.68005666155307,10.3114206127437
"CF00039-00415.MAB",10.840362351401,10.8667141590184,10.8491133723093,10.694394841192,10.6531102652143,9.52083590226858,9.33166371113381,0,9.02662304154325,8.93433116391827,8.93499167329441,8.93630601408113,8.93377890006427,8.93126344774113,8.93449815038039,8.94009750109629,8.93120094804433,8.93445110359802,8.93418752847622,9.25706835416635,9.25659167596588,9.01299279992915,8.90688900180791,8.90247499337922,9.23424980967246,9.23444278116249,9.24338086337918,9.14602218922899,9.60569116238607,9.03440143088578,9.02634203817707,8.99469479049883,8.99441850640421,8.50368753321022,8.53508809820948,8.5166018766241,8.38599254335228,8.43976331183254,8.44163118605301,8.44287042588838,8.44603271000226,8.44453963109422,8.44346373546391,8.44775536421189,8.44412378014526,8.44369336544721,8.44841775863421,8.44218573750637,8.44605863075727,8.44927463097261,8.44218573254376,8.44412394662395,8.44519917338865,8.44455306714744,8.44584391850773,8.44175453455944,8.4447685711725,8.4428309720352,8.44369291597592,8.44432786572979,8.4441127254541,8.44572141514276,8.44572141514276,8.44663017019267,8.44173341969304,8.44195602815845,8.44217169539585,8.44109967464201,8.44539728958558,8.44389196605049,8.44173755187216,8.44797264786897,8.44582700255042,8.44238436744417,8.44604174215926,8.15356294390626,8.70138831199294,8.70055668853513,8.4549294399605,8.45727121069048,8.45599629388204,8.40144219227451,8.66657874748151,8.48479478531306,8.59591545846086,10.3994393777486
"CF00209-00452.MAB",10.8881693561854,10.9133063317048,10.8965135593224,10.7495115805146,10.7104846887681,9.68907694532084,9.53164305914455,9.02662304154325,0,9.21904135202247,9.21953824911398,9.22052726128284,9.21862594977781,9.21673459449319,9.21916696721948,9.22338207229242,9.21668761633389,9.21913157585562,9.21893330673645,9.47098773263825,9.47060287390275,9.27878213429704,9.19846897495645,9.19517318958544,9.45260440425217,9.45275952545871,9.4599508749561,9.38230817146813,9.76125440349344,9.29523485075034,9.28903157292966,9.26478491994452,9.26457403623616,8.91358468113986,8.93453547249439,8.92217475596939,8.83703343724249,8.87161614412513,8.87282936121588,8.87363470741279,8.87569136751663,8.87472002789246,8.87402040586223,8.87681268949422,8.87444958152538,8.87416970512124,8.87724403930643,8.87318970499973,8.87570823503645,8.87780218054532,8.87318970177474,8.87444968978601,8.87514903821512,8.87472876661123,8.87556851905527,8.87290950618922,8.87486893459071,8.87360906210739,8.87416941287534,8.87458230254386,8.87444239270465,8.87548880925826,8.87548880925826,8.87608019405312,8.87289578668218,8.87304043292881,8.87318057966772,8.87248405438166,8.87527792552585,8.87429883958079,8.87289847158157,8.87695417315675,8.8755575120728,8.87331879041126,8.87569724503207,8.6953512428381,9.04906559995812,9.04847827377632,8.88148973384419,8.88301894723761,8.88218625226268,8.84690187814247,9.02460494254456,8.90108512974252,8.97573753816369,10.4727859975967
"UNC673.MAB",10.8624005218915,10.8881852777762,10.8709616100355,10.7198527598611,10.6796270963168,9.60091655042655,9.42764373743586,8.93433116391827,9.21904135202247,0,3.1354924767972,3.52615794527482,3.91745168345501,3.44103591674467,4.02049769700264,4.58846474385844,3.42577610158814,4.03168580211511,3.99555198590748,9.06826234769279,9.0676865840835,8.7650244906846,8.73356702154902,8.72831546965358,9.13100418189364,9.1312181394354,9.14112335422748,9.03269389427003,9.53563375279925,8.90680117537995,8.89763987044827,8.86156653704809,8.86125090485455,8.27594760900209,8.5488607465388,8.53062970302804,8.40196201758907,8.45490306894826,8.45674290280289,8.45796356772481,8.46107855512152,8.45960778909674,8.45854799223146,8.46277550636793,8.45919815855641,8.45877418479945,8.4634280290999,8.45728913930496,8.46110408880109,8.46427214098813,8.45728913441673,8.45919832254436,8.46025747100674,8.4596210242124,8.46089258315445,8.4568644014275,8.45983330571608,8.45792470489439,8.4587737420557,8.45939919105632,8.45918726925902,8.46077190961006,8.46077190961006,8.46166709593128,8.45684360320897,8.45706287367079,8.45727530768597,8.4562193651444,8.46045262654925,8.45896981310452,8.45684767341958,8.46298955112809,8.46087591985597,8.45748479208764,8.46108745239992,8.32174226911529,8.84899418561001,8.84827672588367,8.64017173033015,8.64211789956692,8.64105826232974,8.59593237960035,8.8190338369429,8.69582719687565,8.78673630860974,10.4334838520766
