"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C2","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C3","C30","C4","C5","C6","C7","C8","C9"
"group_1","","hypothetical protein","8","8","1","1","89","1","393","","1730","1757","1742","","","BKPKHGDI_00040","KMMKDNHJ_00018","OLCIKOGL_00021","","","JBNMJEOL_00028","LMNJNKND_00021","","","","","PGNDIKEO_00035","","","","","","","","","","","","","LPOKCGMG_00021","","HPFGOMPP_00040",""
"group_2","","hypothetical protein","8","8","1","1","87","1","392","","389","389","389","","","BKPKHGDI_00041","KMMKDNHJ_00020","OLCIKOGL_00019","","","JBNMJEOL_00026","LMNJNKND_00019","","","","","PGNDIKEO_00033","","","","","","","","","","","","","LPOKCGMG_00019","","HPFGOMPP_00041",""
"group_27","","lysin B","8","8","1","1","73","1","381","","905","905","905","","","BKPKHGDI_00051","KMMKDNHJ_00030","OLCIKOGL_00009","","","JBNMJEOL_00017","LMNJNKND_00009","","","","","PGNDIKEO_00023","","","","","","","","","","","","","LPOKCGMG_00009","","HPFGOMPP_00051",""
"group_5","","hypothetical protein","8","8","1","1","90","1","394","","1097","1097","1097","","","BKPKHGDI_00039","KMMKDNHJ_00017","OLCIKOGL_00022","","","JBNMJEOL_00029","LMNJNKND_00022","","","","","PGNDIKEO_00036","","","","","","","","","","","","","LPOKCGMG_00022","","HPFGOMPP_00039",""
"group_6","","putative tail protein","8","8","1","1","86","1","390","","1052","1052","1052","","","BKPKHGDI_00042","KMMKDNHJ_00021","OLCIKOGL_00018","","","JBNMJEOL_00025","LMNJNKND_00018","","","","","PGNDIKEO_00032","","","","","","","","","","","","","LPOKCGMG_00018","","HPFGOMPP_00042",""
"group_53","","terminase large subunit","7","7","1","1","114","1","410","","1454","1454","1454","","","BKPKHGDI_00025","KMMKDNHJ_00003","OLCIKOGL_00036","","","JBNMJEOL_00043","LMNJNKND_00036","","","","","","","","","","","","","","","","","","LPOKCGMG_00036","","HPFGOMPP_00025",""
"group_109","","DNA methylase","6","6","1","4","451","4","197","","1571","1571","1571","","","","","","","AOBAIHMC_00033","","","","","","","","","NDJLMKCL_00008","HMEBHMNJ_00059","NOCCGNBF_00037","","","","","","","EMCAFMOK_00023","CKPHLDKH_00033","","","",""
"group_117","","hypothetical protein","6","6","1","4","196","4","249","","938","980","971","","","","","","JCFLIBBE_00024","","","","OECDBAHF_00024","GJFOIMLP_00033","","LJPMGBPL_00031","","","","HMEBHMNJ_00056","","","","","","","","","","","","","DKHLLNMB_00028"
"group_3","","hypothetical protein","6","6","1","4","197","4","250","","1136","1166","1146","","BENEPOLG_00004","","","","JCFLIBBE_00025","","","","OECDBAHF_00025","GJFOIMLP_00032","","","","","NDJLMKCL_00005","HMEBHMNJ_00055","","","","","","","","","","","","",""
"group_4","","major capsid protein","6","6","1","1","110","1","404","","908","908","908","","","BKPKHGDI_00029","","OLCIKOGL_00032","","","JBNMJEOL_00039","LMNJNKND_00032","","","","","","","","","","","","","","","","","","LPOKCGMG_00032","","HPFGOMPP_00029",""
