0	1	2	3	4	5	6	7	8	Product
GCF_000014985-746705-805156	Prodigal:2.6	CDS	40	717	.	+	0	ID=LOMDJGLK_00001;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:32HC_47;locus_tag=LOMDJGLK_00001;product=integrase	integrase
GCF_000014985-746705-805156	Prodigal:2.6	CDS	758	1087	.	+	0	ID=LOMDJGLK_00002;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00002;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	1084	1737	.	+	0	ID=LOMDJGLK_00003;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00003;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	1748	1849	.	-	0	ID=LOMDJGLK_00004;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00004;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	1846	2355	.	-	0	ID=LOMDJGLK_00005;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00005;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	2352	2624	.	-	0	ID=LOMDJGLK_00006;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00006;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	2695	2865	.	-	0	ID=LOMDJGLK_00007;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00007;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	2929	3870	.	-	0	ID=LOMDJGLK_00008;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:SEA_ERICMILLARD_49;locus_tag=LOMDJGLK_00008;product=lysin B	lysin B
GCF_000014985-746705-805156	Prodigal:2.6	CDS	3867	5243	.	-	0	ID=LOMDJGLK_00009;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00009;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	5240	5656	.	-	0	ID=LOMDJGLK_00010;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00010;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	5637	6512	.	-	0	ID=LOMDJGLK_00011;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00011;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	6524	7600	.	-	0	ID=LOMDJGLK_00012;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00012;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	7605	9302	.	-	0	ID=LOMDJGLK_00013;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00013;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	9304	9693	.	-	0	"ID=LOMDJGLK_00014;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:SEA_ARCHIE_23;locus_tag=LOMDJGLK_00014;note="""";product=hypothetical protein"	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	9704	10135	.	-	0	"ID=LOMDJGLK_00015;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:GMA1_27;locus_tag=LOMDJGLK_00015;note="""";product=hypothetical protein"	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	10182	11681	.	-	0	ID=LOMDJGLK_00016;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00016;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	11710	11817	.	-	0	ID=LOMDJGLK_00017;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00017;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	11829	12140	.	-	0	ID=LOMDJGLK_00018;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00018;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	12144	13739	.	-	0	ID=LOMDJGLK_00019;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:PBI_LARENN_32;locus_tag=LOMDJGLK_00019;product=minor tail protein	minor tail protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	13736	14641	.	-	0	ID=LOMDJGLK_00020;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:PBI_WANDA_38;locus_tag=LOMDJGLK_00020;product=minor tail protein	minor tail protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	14638	16374	.	-	0	ID=LOMDJGLK_00021;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:SEA_CHOTABHAI_24;locus_tag=LOMDJGLK_00021;product=minor tail protein	minor tail protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	16371	17927	.	-	0	ID=LOMDJGLK_00022;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:SEA_PURKY_17;locus_tag=LOMDJGLK_00022;product=minor tail protein	minor tail protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	17872	22899	.	-	0	ID=LOMDJGLK_00023;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00023;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	22903	23409	.	-	0	ID=LOMDJGLK_00024;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00024;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	23357	23842	.	-	0	ID=LOMDJGLK_00025;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:PORCELAIN_29;locus_tag=LOMDJGLK_00025;product=tail assembly chaperone	tail assembly chaperone
GCF_000014985-746705-805156	Prodigal:2.6	CDS	23930	24976	.	-	0	ID=LOMDJGLK_00026;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:SEA_DMPSTRDIVER_30;locus_tag=LOMDJGLK_00026;product=major tail protein	major tail protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	25049	25471	.	-	0	ID=LOMDJGLK_00027;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00027;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	25468	26046	.	-	0	ID=LOMDJGLK_00028;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00028;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	26084	26521	.	-	0	ID=LOMDJGLK_00029;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00029;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	26514	26996	.	-	0	ID=LOMDJGLK_00030;inference=ab initio prediction:Prodigal:2.6;locus_tag=LOMDJGLK_00030;product=hypothetical protein	hypothetical protein
GCF_000014985-746705-805156	Prodigal:2.6	CDS	26998	27330	.	-	0	"ID=LOMDJGLK_00031;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:Combined_VF_Myco.faa:PBI_MANGETHE_7;locus_tag=LOMDJGLK_00031;note="""";product=hypothetical protein"	hypothetical protein
