ID,Genome_Length
GCF_001610655,4799801
GCF_001677095,4891993
GCF_004028015,5067231
GCF_001610675,5330954
GCF_001653355,4829781
GCF_003815795,4836546
GCF_004027995,5075529
GCF_001606195,4826045
GCF_001606275,5166100
GCF_003815815,4838766
GCF_003816035,4838649
GCF_001606255,5064478
GCF_000497265,4978382
GCF_003076795,4800506
GCF_003609715,5080450
GCF_003713025,4837149
GCF_003586385,5067172
GCF_001050395,5257136
GCF_001677195,5214168
GCF_000835225,4781002
GCF_000014985,5475491
GCF_001430775,5173145
GCF_001610635,4939234
GCF_000390085,4829424
GCF_000829075,4951217
GCF_001606295,5074222
GCF_000069185,5067172
GCF_003957335,4907428
GCF_001610615,5217908
GCF_001606215,5242371
GCF_003640565,4961843
GCF_003076875,4886609
GCF_001683455,4953610
GCF_003076855,4876254
GCF_001606235,4869298
GCF_000445035,5000473
GCF_000007865,4829781
GCF_001677155,5188101
GCF_001865635,5178461
GCF_001606315,5188507
GCF_000277775,4687873
GCF_004345205,5438093
GCF_001677175,4867257
GCF_003408535,5188883
GCF_001936215,5626623
GCF_001606335,5146255
GCF_002208705,4832477
GCF_003713045,4831261
GCF_004209835,4889373
GCF_000835265,4786065
GCF_002140035,4936470
GCF_001677215,5331134
GCF_004209815,4901034
