Prophage,Cluster,AttP,Category,Contig,End,Identifier,Length,Species,Start,Unique
CF00055-00431-20-61731-89106,A,yes,6,20.0,89106,CF00055-00431,27375,MAB,61731,CF00055-00431-20-61731-89106
CF00134-00138-36-244-30007,Cluster,yes,6,36.0,30007,CF00134-00138,29763,MAB,244,CF00134-00138-36-244-30007
CF00080-00085-6-19259-61415,Cluster,yes,6,6.0,61415,CF00080-00085,42156,MAB,19259,CF00080-00085-6-19259-61415
CF00116-00120-17-19259-61415,Cluster,yes,6,17.0,61415,CF00116-00120,42156,MAB,19259,CF00116-00120-17-19259-61415
CF00208-00451-32-947-16359,P,yes,6,32.0,16359,CF00208-00451,15412,MAB,947,CF00208-00451-32-947-16359
CF00113-00117-23-291-16741,Cluster,yes,6,23.0,16741,CF00113-00117,16450,MBOL,291,CF00113-00117-23-291-16741
CF00008-00026-32-1970-16485,P,yes,6,32.0,16485,CF00008-00026,14515,MMAS,1970,CF00008-00026-32-1970-16485
CF00067-00436-13-27037-77078,M,yes,6,13.0,77078,CF00067-00436,50041,MAB,27037,CF00067-00436-13-27037-77078
CF00158-00160-14-27037-77078,M,yes,6,14.0,77078,CF00158-00160,50041,MAB,27037,CF00158-00160-14-27037-77078
CF00144-00147-14-68403-119453,K,yes,6,14.0,119453,CF00144-00147,51050,MAB,68403,CF00144-00147-14-68403-119453
CF00142-00145-31-1617-39944,M,yes,6,31.0,39944,CF00142-00145,38327,MAB,1617,CF00142-00145-31-1617-39944
CF00138-00141-7-69835-117899,K,yes,6,7.0,117899,CF00138-00141,48064,MAB,69835,CF00138-00141-7-69835-117899
CF00007-00024-1-181155-255149,Cluster,yes,4,1.0,255149,CF00007-00024,73994,MINT,181155,CF00007-00024-1-181155-255149
CF00134-00138-22-140-39718,Cluster,yes,6,22.0,39718,CF00134-00138,39578,MAB,140,CF00134-00138-22-140-39718
CF00107-00704-8-42264-96674,K,yes,6,8.0,96674,CF00107-00704,54410,MAB,42264,CF00107-00704-8-42264-96674
CF00143-00146-12-69878-117229,G,yes,6,12.0,117229,CF00143-00146,47351,MAB,69878,CF00143-00146-12-69878-117229
CF00788-00688-2-1-18525,Cluster,yes,6,2.0,18525,CF00788-00688,18524,MAB,1,CF00788-00688-2-1-18525
CF00076-00179-15-14616-54913,Cluster,yes,6,15.0,54913,CF00076-00179,40297,MAB,14616,CF00076-00179-15-14616-54913
CF00151-00153-28-14616-54913,Cluster,yes,6,28.0,54913,CF00151-00153,40297,MAB,14616,CF00151-00153-28-14616-54913
CF00149-00151-16-63319-104452,Cluster,yes,6,16.0,104452,CF00149-00151,41133,MAB,63319,CF00149-00151-16-63319-104452
CF00123-00127-4-104757-147250,G,yes,6,4.0,147250,CF00123-00127,42493,MAB,104757,CF00123-00127-4-104757-147250
GCF_001050395-528197-580840,M,yes,6,,580840,GCF_001050395,52643,MAB,528197,GCF_001050395-528197-580840
GCF_003076795-1680815-1746709,Cluster,yes,4,,1746709,GCF_003076795,65894,MAB,1680815,GCF_003076795-1680815-1746709
GCF_003076875-3130345-3164903,F,yes,5,,3164903,GCF_003076875,34558,MAB,3130345,GCF_003076875-3130345-3164903
CF00206-00449-2-109301-154800,F,yes,4,2.0,154800,CF00206-00449,45499,MMAS,109301,CF00206-00449-2-109301-154800
GCF_003076855-3101192-3135750,F,yes,5,,3135750,GCF_003076855,34558,MAB,3101192,GCF_003076855-3101192-3135750
GCF_003609715-3445614-3524876,B,yes,5,,3524876,GCF_003609715,79262,MAB,3445614,GCF_003609715-3445614-3524876
CF00788-00688-20-63167-88470,K,yes,6,20.0,88470,CF00788-00688,25303,MAB,63167,CF00788-00688-20-63167-88470
GCF_001677155-3513605-3574325,Z,yes,5,,3574325,GCF_001677155,60720,MAB,3513605,GCF_001677155-3513605-3574325
GCF_001430775-3316872-3377592,Z,yes,5,,3377592,GCF_001430775,60720,MAB,3316872,GCF_001430775-3316872-3377592
GCF_001606315-3513867-3574587,Z,yes,5,,3574587,GCF_001606315,60720,MAB,3513867,GCF_001606315-3513867-3574587
CF00788-00688-2-33145-93383,Cluster,yes,5,2.0,93383,CF00788-00688,60238,MAB,33145,CF00788-00688-2-33145-93383
GCF_001610675-500725-554213,F,yes,5,,554213,GCF_001610675,53488,MAB,500725,GCF_001610675-500725-554213
GCF_001677215-500725-554213,F,yes,5,,554213,GCF_001677215,53488,MAB,500725,GCF_001677215-500725-554213
CF00040-00180-14-12532-65381,D,yes,5,14.0,65381,CF00040-00180,52849,MAB,12532,CF00040-00180-14-12532-65381
CF00020-00045-30-12875-52853,M,yes,6,30.0,52853,CF00020-00045,39978,MBOL,12875,CF00020-00045-30-12875-52853
CF00148-00210-22-64198-107112,A,yes,4,22.0,107112,CF00148-00210,42914,MAB,64198,CF00148-00210-22-64198-107112
CF00053-00404-35-1507-35799,A,yes,4,35.0,35799,CF00053-00404,34292,MAB,1507,CF00053-00404-35-1507-35799
CF00154-00156-36-1506-35798,A,yes,4,36.0,35798,CF00154-00156,34292,MAB,1506,CF00154-00156-36-1506-35798
GCF_001606295-1763127-1820360,A,yes,4,,1820360,GCF_001606295,57233,MAB,1763127,GCF_001606295-1763127-1820360
CF00135-00139-18-64206-107120,A,yes,4,18.0,107120,CF00135-00139,42914,MAB,64206,CF00135-00139-18-64206-107120
GCF_003586385-1767448-1832447,A,yes,4,,1832447,GCF_003586385,64999,MAB,1767448,GCF_003586385-1767448-1832447
CF00090-00095-18-49-42951,A,yes,4,18.0,42951,CF00090-00095,42902,MAB,49,CF00090-00095-18-49-42951
CF00118-00122-19-2-42916,A,yes,4,19.0,42916,CF00118-00122,42914,MAB,2,CF00118-00122-19-2-42916
CF00097-00102-19-64200-107114,A,yes,4,19.0,107114,CF00097-00102,42914,MAB,64200,CF00097-00102-19-64200-107114
GCF_001606215-233916-316864,P,yes,5,,316864,GCF_001606215,82948,MAB,233916,GCF_001606215-233916-316864
CF00064-00439-20-6682-82136,L,yes,4,20.0,82136,CF00064-00439,75454,MAB,6682,CF00064-00439-20-6682-82136
CF00054-00430-13-31386-69328,Q,yes,5,13.0,69328,CF00054-00430,37942,MMAS,31386,CF00054-00430-13-31386-69328
CF00044-00420-11-72498-126207,K,yes,6,11.0,126207,CF00044-00420,53709,MAB,72498,CF00044-00420-11-72498-126207
GCF_001610675-867353-945803,Cluster,yes,4,,945803,GCF_001610675,78450,MAB,867353,GCF_001610675-867353-945803
GCF_001677215-865067-945992,Cluster,yes,4,,945992,GCF_001677215,80925,MAB,865067,GCF_001677215-865067-945992
CF00148-00208-36-13429-39033,Cluster,yes,6,36.0,39033,CF00148-00208,25604,MMAS,13429,CF00148-00208-36-13429-39033
CF00054-00430-34-13429-39033,Cluster,yes,6,34.0,39033,CF00054-00430,25604,MMAS,13429,CF00054-00430-34-13429-39033
GCF_001610615-239152-312410,Cluster,yes,5,,312410,GCF_001610615,73258,MAB,239152,GCF_001610615-239152-312410
CF00064-00439-17-19755-98387,L,yes,4,17.0,98387,CF00064-00439,78632,MAB,19755,CF00064-00439-17-19755-98387
CF00039-00415-8-3-36301,B,yes,6,8.0,36301,CF00039-00415,36298,MAB,3,CF00039-00415-8-3-36301
CF00038-00414-19-12500-71141,Cluster,yes,4,19.0,71141,CF00038-00414,58641,MAB,12500,CF00038-00414-19-12500-71141
GCF_001610675-231526-303917,P,yes,5,,303917,GCF_001610675,72391,MAB,231526,GCF_001610675-231526-303917
GCF_001677215-231526-303917,P,yes,5,,303917,GCF_001677215,72391,MAB,231526,GCF_001677215-231526-303917
CF00211-00454-4-30207-68990,Cluster,yes,4,4.0,68990,CF00211-00454,38783,MAB,30207,CF00211-00454-4-30207-68990
GCF_001606335-2402507-2437611,K,yes,4,,2437611,GCF_001606335,35104,MAB,2402507,GCF_001606335-2402507-2437611
CF00783-00676-8-61138-107985,A,yes,4,8.0,107985,CF00783-00676,46847,MAB,61138,CF00783-00676-8-61138-107985
CF00280-00677-12-75546-125813,C,yes,4,12.0,125813,CF00280-00677,50267,MAB,75546,CF00280-00677-12-75546-125813
