,Prophage,Cluster,AttP,Category,Contig,End,Identifier,Length,Species,Start,Unique,Virulence
0,CF00055-00431-20-61731-89106,A,yes,6,20.0,89106,CF00055-00431,27375,MAB,61731,CF00055-00431-20-61731-89106,Virulence Absent
1,CF00134-00138-36-244-30007,Cluster,yes,6,36.0,30007,CF00134-00138,29763,MAB,244,CF00134-00138-36-244-30007,Virulence Absent
2,CF00080-00085-6-19259-61415,Cluster,yes,6,6.0,61415,CF00080-00085,42156,MAB,19259,CF00080-00085-6-19259-61415,Virulence Absent
3,CF00116-00120-17-19259-61415,Cluster,yes,6,17.0,61415,CF00116-00120,42156,MAB,19259,CF00116-00120-17-19259-61415,Virulence Absent
4,CF00208-00451-32-947-16359,P,yes,6,32.0,16359,CF00208-00451,15412,MAB,947,CF00208-00451-32-947-16359,Virulence Absent
5,CF00113-00117-23-291-16741,Cluster,yes,6,23.0,16741,CF00113-00117,16450,MBOL,291,CF00113-00117-23-291-16741,Virulence Absent
6,CF00008-00026-32-1970-16485,P,yes,6,32.0,16485,CF00008-00026,14515,MMAS,1970,CF00008-00026-32-1970-16485,Virulence Absent
7,CF00067-00436-13-27037-77078,M,yes,6,13.0,77078,CF00067-00436,50041,MAB,27037,CF00067-00436-13-27037-77078,Contains Bacterial Virulence
8,CF00158-00160-14-27037-77078,M,yes,6,14.0,77078,CF00158-00160,50041,MAB,27037,CF00158-00160-14-27037-77078,Contains Bacterial Virulence
9,CF00144-00147-14-68403-119453,K,yes,6,14.0,119453,CF00144-00147,51050,MAB,68403,CF00144-00147-14-68403-119453,Contains Bacterial Virulence
10,CF00142-00145-31-1617-39944,M,yes,6,31.0,39944,CF00142-00145,38327,MAB,1617,CF00142-00145-31-1617-39944,Virulence Absent
11,CF00138-00141-7-69835-117899,K,yes,6,7.0,117899,CF00138-00141,48064,MAB,69835,CF00138-00141-7-69835-117899,Contains Bacterial Virulence
12,CF00007-00024-1-181155-255149,Cluster,yes,4,1.0,255149,CF00007-00024,73994,MINT,181155,CF00007-00024-1-181155-255149,Contains Bacterial Virulence
13,CF00134-00138-22-140-39718,Cluster,yes,6,22.0,39718,CF00134-00138,39578,MAB,140,CF00134-00138-22-140-39718,Contains Bacterial Virulence
14,CF00107-00704-8-42264-96674,K,yes,6,8.0,96674,CF00107-00704,54410,MAB,42264,CF00107-00704-8-42264-96674,Contains Bacterial Virulence
15,CF00143-00146-12-69878-117229,G,yes,6,12.0,117229,CF00143-00146,47351,MAB,69878,CF00143-00146-12-69878-117229,Contains Bacterial Virulence
16,CF00788-00688-2-1-18525,Cluster,yes,6,2.0,18525,CF00788-00688,18524,MAB,1,CF00788-00688-2-1-18525,Virulence Absent
17,CF00076-00179-15-14616-54913,Cluster,yes,6,15.0,54913,CF00076-00179,40297,MAB,14616,CF00076-00179-15-14616-54913,Virulence Absent
18,CF00151-00153-28-14616-54913,Cluster,yes,6,28.0,54913,CF00151-00153,40297,MAB,14616,CF00151-00153-28-14616-54913,Virulence Absent
19,CF00149-00151-16-63319-104452,Cluster,yes,6,16.0,104452,CF00149-00151,41133,MAB,63319,CF00149-00151-16-63319-104452,Contains Bacterial Virulence
20,CF00123-00127-4-104757-147250,G,yes,6,4.0,147250,CF00123-00127,42493,MAB,104757,CF00123-00127-4-104757-147250,Virulence Absent
21,GCF_001050395-528197-580840,M,yes,6,,580840,GCF_001050395,52643,MAB,528197,GCF_001050395-528197-580840,Contains Bacterial Virulence
