Identifier,Category,Contig,Start,End,Length,Species,AttP,Unique
CF00002-00014,5,8,4442,64809,60367,MCHIM,yes,CF00002-00014-8-4442-64809
CF00004-00018,6,31,34196,70962,36766,MINT,yes,CF00004-00018-31-34196-70962
CF00007-00024,4,1,181155,255149,73994,MINT,yes,CF00007-00024-1-181155-255149
CF00008-00026,6,32,1970,16485,14515,MMAS,yes,CF00008-00026-32-1970-16485
CF00020-00045,6,30,12875,52853,39978,MBOL,yes,CF00020-00045-30-12875-52853
CF00024-00056,4,10,72,31029,30957,MMAS,yes,CF00024-00056-10-72-31029
CF00026-00061,4,20,1,56424,56423,MAB,yes,CF00026-00061-20-1-56424
CF00026-00061,6,22,64122,81643,17521,MAB,yes,CF00026-00061-22-64122-81643
CF00032-00408,6,4,189404,215826,26422,MAB,yes,CF00032-00408-4-189404-215826
CF00034-00410,4,20,64194,107067,42873,MAB,yes,CF00034-00410-20-64194-107067
CF00035-00411,4,1,310295,372222,61927,MMAS,yes,CF00035-00411-1-310295-372222
CF00038-00414,4,19,12500,71141,58641,MAB,yes,CF00038-00414-19-12500-71141
CF00039-00415,6,8,3,36301,36298,MAB,yes,CF00039-00415-8-3-36301
CF00040-00180,5,14,12532,65381,52849,MAB,yes,CF00040-00180-14-12532-65381
CF00042-00418,4,17,59,48320,48261,MMAS,yes,CF00042-00418-17-59-48320
CF00043-00419,4,6,110870,176977,66107,MAB,yes,CF00043-00419-6-110870-176977
CF00044-00420,6,11,72498,126207,53709,MAB,yes,CF00044-00420-11-72498-126207
CF00053-00404,4,2,1109,47071,45962,MAB,yes,CF00053-00404-2-1109-47071
CF00053-00404,4,35,1507,35799,34292,MAB,yes,CF00053-00404-35-1507-35799
CF00054-00430,5,13,31386,69328,37942,MMAS,yes,CF00054-00430-13-31386-69328
CF00054-00430,6,34,13429,39033,25604,MMAS,yes,CF00054-00430-34-13429-39033
CF00055-00431,6,20,61731,89106,27375,MAB,yes,CF00055-00431-20-61731-89106
CF00064-00439,4,17,19755,98387,78632,MAB,yes,CF00064-00439-17-19755-98387
CF00064-00439,4,20,6682,82136,75454,MAB,yes,CF00064-00439-20-6682-82136
CF00067-00436,6,13,27037,77078,50041,MAB,yes,CF00067-00436-13-27037-77078
CF00068-00219,4,26,2289,47832,45543,MAB,yes,CF00068-00219-26-2289-47832
CF00076-00179,6,15,14616,54913,40297,MAB,yes,CF00076-00179-15-14616-54913
CF00079-00228,5,2,178783,235835,57052,MINT,yes,CF00079-00228-2-178783-235835
CF00079-00228,5,2,260981,325351,64370,MINT,yes,CF00079-00228-2-260981-325351
CF00080-00085,6,6,19259,61415,42156,MAB,yes,CF00080-00085-6-19259-61415
CF00090-00095,4,18,49,42951,42902,MAB,yes,CF00090-00095-18-49-42951
CF00091-00096,4,7,127874,176150,48276,MMAS,yes,CF00091-00096-7-127874-176150
CF00097-00102,4,19,64200,107114,42914,MAB,yes,CF00097-00102-19-64200-107114
CF00103-00108,6,25,12275,30306,18031,MAB,yes,CF00103-00108-25-12275-30306
CF00107-00704,6,8,42264,96674,54410,MAB,yes,CF00107-00704-8-42264-96674
CF00113-00117,6,23,291,16741,16450,MBOL,yes,CF00113-00117-23-291-16741
CF00116-00120,6,17,19259,61415,42156,MAB,yes,CF00116-00120-17-19259-61415
CF00118-00122,4,19,2,42916,42914,MAB,yes,CF00118-00122-19-2-42916
CF00123-00127,6,4,104757,147250,42493,MAB,yes,CF00123-00127-4-104757-147250
CF00134-00138,6,22,140,39718,39578,MAB,yes,CF00134-00138-22-140-39718
CF00134-00138,6,36,244,30007,29763,MAB,yes,CF00134-00138-36-244-30007
CF00135-00139,4,18,64206,107120,42914,MAB,yes,CF00135-00139-18-64206-107120
CF00138-00141,6,7,69835,117899,48064,MAB,yes,CF00138-00141-7-69835-117899
CF00142-00145,4,11,65989,118552,52563,MAB,yes,CF00142-00145-11-65989-118552
CF00142-00145,6,31,1617,39944,38327,MAB,yes,CF00142-00145-31-1617-39944
CF00143-00146,6,12,69878,117229,47351,MAB,yes,CF00143-00146-12-69878-117229
CF00144-00147,6,14,68403,119453,51050,MAB,yes,CF00144-00147-14-68403-119453
CF00148-00208,6,36,13429,39033,25604,MMAS,yes,CF00148-00208-36-13429-39033
CF00148-00210,4,22,64198,107112,42914,MAB,yes,CF00148-00210-22-64198-107112
CF00149-00151,6,16,63319,104452,41133,MAB,yes,CF00149-00151-16-63319-104452
CF00151-00153,6,28,14616,54913,40297,MAB,yes,CF00151-00153-28-14616-54913
CF00154-00156,4,4,231149,279329,48180,MAB,yes,CF00154-00156-4-231149-279329
CF00154-00156,4,36,1506,35798,34292,MAB,yes,CF00154-00156-36-1506-35798
CF00158-00160,4,12,65990,118553,52563,MAB,yes,CF00158-00160-12-65990-118553
CF00158-00160,6,14,27037,77078,50041,MAB,yes,CF00158-00160-14-27037-77078
CF00160-00161,4,16,64181,107070,42889,MAB,yes,CF00160-00161-16-64181-107070
CF00170-00171,4,9,47516,125443,77927,MMAS,yes,CF00170-00171-9-47516-125443
CF00206-00449,4,2,109301,154800,45499,MMAS,yes,CF00206-00449-2-109301-154800
CF00208-00451,6,32,947,16359,15412,MAB,yes,CF00208-00451-32-947-16359
CF00211-00454,4,4,30207,68990,38783,MAB,yes,CF00211-00454-4-30207-68990
CF00280-00677,4,12,75546,125813,50267,MAB,yes,CF00280-00677-12-75546-125813
CF00308-00653,4,13,2,39872,39870,MAB,yes,CF00308-00653-13-2-39872
CF00316-00499,4,14,67,48328,48261,MMAS,yes,CF00316-00499-14-67-48328
CF00764-00646,4,3,87223,123014,35791,MAB,yes,CF00764-00646-3-87223-123014
CF00765-00647,6,21,56449,89354,32905,MBOL,yes,CF00765-00647-21-56449-89354
CF00766-00648,4,14,52,48313,48261,MMAS,yes,CF00766-00648-14-52-48313
CF00776-00667,6,30,17791,56777,38986,MAV,yes,CF00776-00667-30-17791-56777
CF00783-00676,4,8,61138,107985,46847,MAB,yes,CF00783-00676-8-61138-107985
CF00788-00688,6,2,1,18525,18524,MAB,yes,CF00788-00688-2-1-18525
CF00788-00688,5,2,33145,93383,60238,MAB,yes,CF00788-00688-2-33145-93383
CF00788-00688,6,20,63167,88470,25303,MAB,yes,CF00788-00688-20-63167-88470
CF00795-00699,6,30,1477,27922,26445,MAB,yes,CF00795-00699-30-1477-27922
