RefSeq assembly accession,NCBI Assembly ID,Species,Bioproject,Source
GCF_000069185.1,ASM6918v1,M. abscessus,PRJNA15691,clinical
GCF_000277775.2,ASM27777v2,M. abscessus,PRJNA168263,clinical
GCF_000445035.1,ASM44503v1,M. abscessus,PRJNA191917,clinical
GCF_000497265.2,ASM49726v2,M. abscessus,PRJDB747,clinical
GCF_001050395.1,ASM105039v1,M. abscessus,PRJNA80959,clinical
GCF_001430775.1,ASM143077v1,M. abscessus,PRJNA295901,clinical
GCF_001606195.1,ASM160619v1,M. abscessus,PRJNA315990,clinical
GCF_001606215.1,ASM160621v1,M. abscessus,PRJNA315990,clinical
GCF_001606235.1,ASM160623v1,M. abscessus,PRJNA315990,clinical
GCF_001606255.1,ASM160625v1,M. abscessus,PRJNA315990,clinical
GCF_001606275.1,ASM160627v1,M. abscessus,PRJNA315990,clinical
GCF_001606295.1,ASM160629v1,M. abscessus,PRJNA315990,clinical
GCF_001606315.1,ASM160631v1,M. abscessus,PRJNA315990,clinical
GCF_001606335.1,ASM160633v1,M. abscessus,PRJNA315990,clinical
GCF_001610615.1,ASM161061v1,M. abscessus,PRJNA315990,clinical
GCF_001610635.1,ASM161063v1,M. abscessus,PRJNA315990,clinical
GCF_001610655.1,ASM161065v1,M. abscessus,PRJNA315990,clinical
GCF_001610675.1,ASM161067v1,M. abscessus,PRJNA315990,clinical
GCF_001677095.1,ASM167709v1,M. abscessus,PRJNA315990,clinical
GCF_001677155.1,ASM167715v1,M. abscessus,PRJNA315990,clinical
GCF_001677175.1,ASM167717v1,M. abscessus,PRJNA315990,clinical
GCF_001677195.1,ASM167719v1,M. abscessus,PRJNA315990,clinical
GCF_001677215.1,ASM167721v1,M. abscessus,PRJNA315995,clinical
GCF_002140035.1,ASM214003v1,M. abscessus,PRJNA315990,clinical
GCF_003076795.1,ASM307679v1,M. abscessus,PRJNA448987,unknown
GCF_003076855.1,ASM307685v1,M. abscessus,PRJNA448987,unknown
GCF_003076875.1,ASM307687v1,M. abscessus,PRJNA448987,unknown
GCF_003586385.1,ASM358638v1,M. abscessus,PRJNA479934,clinical
GCF_003609715.1,ASM360971v1,M. abscessus,PRJDB6557,clinical
GCF_004027995.1,ASM402799v1,M. abscessus,PRJNA495001,clinical
GCF_004028015.1,ASM402801v1,M. abscessus,PRJNA504433,clinical
GCF_004209815.1,ASM420981v1,M. abscessus,PRJNA521964,unknown
GCF_004209835.1,ASM420983v1,M. abscessus,PRJNA521972,unknown
GCF_000007865.1,ASM786v1,M. avium,PRJNA91,clinical
GCF_000014985.1,ASM1498v1,M. avium,PRJNA88,clinical
GCF_000390085.1,ASM39008v1,M. avium,PRJNA168471,clinical
GCF_000829075.1,ASM82907v1,M. avium,PRJDB502,clinical
GCF_000835225.1,ASM83522v1,M. avium,PRJNA269152,clinical
GCF_000835265.1,ASM83526v1,M. avium,PRJNA269152,clinical
GCF_001653355.1,ASM165335v1,M. avium,PRJNA314834,clinical
GCF_001683455.1,ASM168345v1,M. avium,PRJNA305474,unknown
GCF_001865635.2,ASM186563v2,M. avium,PRJNA259922,unknown
GCF_001936215.1,ASM193621v1,M. avium,PRJNA356305,environmental
GCF_002208705.2,ASM220870v2,M. avium,PRJNA231221,clinical
GCF_003408535.1,ASM340853v1,M. avium,PRJNA464043,clinical
GCF_003640565.1,ASM364056v1,M. avium,PRJNA449244,unknown
GCF_003713025.1,ASM371302v1,M. avium,PRJNA498906,unknown
GCF_003713045.1,ASM371304v1,M. avium,PRJNA498904,unknown
GCF_003815795.1,ASM381579v1,M. avium,PRJNA505100,unknown
GCF_003815815.1,ASM381581v1,M. avium,PRJNA505101,unknown
GCF_003816035.1,ASM381603v1,M. avium,PRJNA505099,unknown
GCF_003957335.1,ASM395733v1,M. avium,PRJNA504678,clinical
GCF_004345205.1,ASM434520v1,M. avium,PRJNA522808,clinical
