"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X3","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X4","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X5","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X6","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X7","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X8","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X9","X90","X91","X92","X93","X94","X95","X96"
"group_100","","hypothetical protein","25","25","1","1","999","1","2221","","242","299","244","","PLOJBKHJ_00016","DEFAMCNH_00070","","","","ALGMKNDJ_00029","JEAPEHFJ_00008","","","KGBJOEEA_00010","","","","","","","","","","","","","","NCPNAPJH_00031","NCHJCFBK_00025","ICMKHOEH_00016","","","","","NECFICIE_00031","","","","","NPFBJGGD_00016","","","","","","","MDKGMOKN_00016","","","","","PKPNPOGM_00010","","","OCHLMLOL_00016","","CKOJEDDJ_00009","","JMBMBIIH_00031","","","BMJNPGDH_00030","PPENBANP_00029","","","GBDOALGK_00029","","","","","","","","","BGEGJEIL_00105","","","","","","","NMADALPM_00054","","","","APJAMGLI_00049","","","","","","","","","KBMEIMMN_00111","OPBPLNAK_00009","LIBCBMOH_00009","MHGPHFPL_00080",""
"group_13","","hypothetical protein","24","24","1","1","1015","1","312","","398","398","398","","PLOJBKHJ_00028","DEFAMCNH_00058","","","","ALGMKNDJ_00019","JEAPEHFJ_00019","","","KGBJOEEA_00022","","","","","","","","","","","","","","NCPNAPJH_00019","NCHJCFBK_00035","ICMKHOEH_00028","","","","","NECFICIE_00019","","","","","NPFBJGGD_00028","","","","","","","MDKGMOKN_00028","","","","","PKPNPOGM_00022","","","OCHLMLOL_00028","","CKOJEDDJ_00020","","JMBMBIIH_00019","","","","PPENBANP_00019","","","GBDOALGK_00019","","","","","","","","","BGEGJEIL_00097","","","","","","","NMADALPM_00031","","","","APJAMGLI_00037","","","","","","","","","KBMEIMMN_00100","OPBPLNAK_00017","LIBCBMOH_00017","MHGPHFPL_00068",""
"dap","","D-aminopeptidase","24","24","1","1","1016","1","311","","4103","4124","4117","","PLOJBKHJ_00029","DEFAMCNH_00057","","","","ALGMKNDJ_00018","JEAPEHFJ_00020","","","KGBJOEEA_00023","","","","","","","","","","","","","","NCPNAPJH_00018","NCHJCFBK_00036","ICMKHOEH_00029","","","","","NECFICIE_00018","","","","","NPFBJGGD_00029","","","","","","","MDKGMOKN_00029","","","","","PKPNPOGM_00023","","","OCHLMLOL_00029","","CKOJEDDJ_00021","","JMBMBIIH_00018","","","","PPENBANP_00018","","","GBDOALGK_00018","","","","","","","","","BGEGJEIL_00096","","","","","","","NMADALPM_00030","","","","APJAMGLI_00036","","","","","","","","","KBMEIMMN_00099","OPBPLNAK_00018","LIBCBMOH_00018","MHGPHFPL_00067",""
"group_52","","hypothetical protein","24","24","1","1","1003","1","2199","","224","227","224","","PLOJBKHJ_00018","DEFAMCNH_00068","","","","ALGMKNDJ_00027","JEAPEHFJ_00009","","","KGBJOEEA_00012","","","","","","","","","","","","","","NCPNAPJH_00029","NCHJCFBK_00027","ICMKHOEH_00018","","","","","NECFICIE_00029","","","","","NPFBJGGD_00018","","","","","","","MDKGMOKN_00018","","","","","PKPNPOGM_00012","","","OCHLMLOL_00018","","CKOJEDDJ_00011","","JMBMBIIH_00029","","","BMJNPGDH_00028","PPENBANP_00027","","","GBDOALGK_00027","","","","","","","","","","","","","","","","NMADALPM_00052","","","","APJAMGLI_00047","","","","","","","","","KBMEIMMN_00109","OPBPLNAK_00010","LIBCBMOH_00010","MHGPHFPL_00078",""
"group_136","","MRE11 double-strand break endo/exonuclease","23","23","1","1","1004","1","2189","","1127","1202","1161","","","DEFAMCNH_00067","","","","ALGMKNDJ_00026","JEAPEHFJ_00011","","","KGBJOEEA_00014","","","","","","","","","","","","","","NCPNAPJH_00027","NCHJCFBK_00028","ICMKHOEH_00020","","","","","NECFICIE_00027","","","","","NPFBJGGD_00020","","","","","","","MDKGMOKN_00020","","","","","PKPNPOGM_00014","","","OCHLMLOL_00020","","CKOJEDDJ_00012","","JMBMBIIH_00028","","","","PPENBANP_00026","","","GBDOALGK_00026","","","","","","","","","BGEGJEIL_00104","","","","","","","NMADALPM_00039","","","","APJAMGLI_00046","","","","","","","","","KBMEIMMN_00108","OPBPLNAK_00011","LIBCBMOH_00011","MHGPHFPL_00076",""
"group_102","","minor tail protein","21","21","1","1","901","1","299","","1796","1796","1796","","PLOJBKHJ_00032","DEFAMCNH_00054","","","","ALGMKNDJ_00015","JEAPEHFJ_00023","","","KGBJOEEA_00026","","","","","","","","","","","","","","NCPNAPJH_00015","NCHJCFBK_00039","ICMKHOEH_00032","","","","","NECFICIE_00015","","","","","NPFBJGGD_00032","","","","","","","MDKGMOKN_00032","","","","","PKPNPOGM_00026","","","OCHLMLOL_00032","","","","JMBMBIIH_00015","","","BMJNPGDH_00014","PPENBANP_00015","","","GBDOALGK_00015","","","","","","","","","BGEGJEIL_00093","","","","","","","NMADALPM_00027","","","","APJAMGLI_00033","","","","","","","","","","","","MHGPHFPL_00064",""
"group_103","","minor tail protein","21","21","1","1","900","1","298","","1103","1109","1107","","PLOJBKHJ_00033","DEFAMCNH_00053","","","","ALGMKNDJ_00014","JEAPEHFJ_00024","","","KGBJOEEA_00027","","","","","","","","","","","","","","NCPNAPJH_00014","NCHJCFBK_00040","ICMKHOEH_00033","","","","","NECFICIE_00014","","","","","NPFBJGGD_00033","","","","","","","MDKGMOKN_00033","","","","","PKPNPOGM_00027","","","OCHLMLOL_00033","","","","JMBMBIIH_00014","","","BMJNPGDH_00013","PPENBANP_00014","","","GBDOALGK_00014","","","","","","","","","BGEGJEIL_00092","","","","","","","NMADALPM_00026","","","","APJAMGLI_00032","","","","","","","","","","","","MHGPHFPL_00063",""
"group_104","","hypothetical protein","21","21","1","1","894","1","292","","266","266","266","","PLOJBKHJ_00039","DEFAMCNH_00047","","","","ALGMKNDJ_00008","JEAPEHFJ_00030","","","KGBJOEEA_00033","","","","","","","","","","","","","","NCPNAPJH_00008","NCHJCFBK_00046","ICMKHOEH_00039","","","","","NECFICIE_00008","","","","","NPFBJGGD_00039","","","","","","","MDKGMOKN_00039","","","","","PKPNPOGM_00033","","","OCHLMLOL_00039","","","","JMBMBIIH_00008","","","BMJNPGDH_00007","PPENBANP_00008","","","GBDOALGK_00008","","","","","","","","","BGEGJEIL_00086","","","","","","","NMADALPM_00020","","","","APJAMGLI_00026","","","","","","","","","","","","MHGPHFPL_00057",""
"group_105","","head-to-tail connector complex protein","21","21","1","1","893","1","291","","335","335","335","","PLOJBKHJ_00040","DEFAMCNH_00046","","","","ALGMKNDJ_00007","JEAPEHFJ_00031","","","KGBJOEEA_00034","","","","","","","","","","","","","","NCPNAPJH_00007","NCHJCFBK_00047","ICMKHOEH_00040","","","","","NECFICIE_00007","","","","","NPFBJGGD_00040","","","","","","","MDKGMOKN_00040","","","","","PKPNPOGM_00034","","","OCHLMLOL_00040","","","","JMBMBIIH_00007","","","BMJNPGDH_00006","PPENBANP_00007","","","GBDOALGK_00007","","","","","","","","","BGEGJEIL_00085","","","","","","","NMADALPM_00019","","","","APJAMGLI_00025","","","","","","","","","","","","MHGPHFPL_00056",""
"group_110","","lysin B","21","21","1","1","929","1","2178","","914","914","914","","","DEFAMCNH_00064","","","","ALGMKNDJ_00024","JEAPEHFJ_00013","","","KGBJOEEA_00016","","","","","","","","","","","","","","NCPNAPJH_00025","NCHJCFBK_00030","ICMKHOEH_00022","","","","","NECFICIE_00025","","","","","NPFBJGGD_00022","","","","","","","MDKGMOKN_00022","","","","","PKPNPOGM_00016","","","OCHLMLOL_00022","","CKOJEDDJ_00014","","","","","","PPENBANP_00024","","","GBDOALGK_00024","","","","","","","","","","","","","","","","NMADALPM_00037","","","","APJAMGLI_00043","","","","","","","","","KBMEIMMN_00106","OPBPLNAK_00012","LIBCBMOH_00012","MHGPHFPL_00074",""
